"gsis_id","away_team","home_team","gamekey","week","season_year","season_type","home_score","home_score_q5","away_score","away_score_q5","home_defense_ffum","home_defense_frec","home_defense_int","home_defense_pass_def","home_defense_qbhit","home_defense_sk","home_defense_tkl_loss","home_fumbles_forced","home_fumbles_notforced","home_fumbles_lost","home_passing_int","home_passing_sk","home_passing_tds","home_passing_yds","home_passing_att","home_puntret_yds","home_receiving_yds","home_rushing_loss","home_rushing_yds","home_rushing_tds","home_rushing_att","home_punting_tot","home_punting_i20","home_kicking_tot","home_kickret_yds","away_defense_ffum","away_defense_frec","away_defense_int","away_defense_pass_def","away_defense_qbhit","away_defense_sk","away_defense_tkl_loss","away_fumbles_forced","away_fumbles_notforced","away_fumbles_lost","away_passing_int","away_passing_sk","away_passing_tds","away_passing_yds","away_passing_att","away_puntret_yds","away_receiving_yds","away_rushing_loss","away_rushing_yds","away_rushing_tds","away_rushing_att","away_punting_tot","away_punting_i20","away_kicking_tot","away_kickret_yds"
"2009080950","BUF","TEN","54723",0,2009,"Preseason",21,0,18,0,0,0,1,1,2,1,1,1,0,0,1,1,0,31,5,13,31,0,-20,0,11,2,1,0,21,1,1,3,7,5,2,11,0,1,1,4,2,1,396,64,20,369,0,151,2,42,8,2,8,135
"2009081350","ARI","PIT","54724",1,2009,"Preseason",20,0,10,0,1,0,1,7,6,5,5,0,1,0,0,0,0,190,27,23,190,0,85,1,31,6,2,5,35,0,0,0,5,1,0,4,1,0,0,1,4,1,281,47,34,281,0,70,0,16,6,3,2,134
"2009081351","NE","PHI","54725",1,2009,"Preseason",25,0,27,0,0,0,1,2,2,1,3,0,1,0,0,2,1,314,43,34,314,0,116,1,27,3,0,7,128,0,0,0,3,3,2,3,0,0,0,1,1,2,133,24,75,133,0,95,0,29,3,0,7,132
"2009081352","WAS","BAL","54726",1,2009,"Preseason",23,0,0,0,2,1,1,3,5,3,4,1,1,0,0,1,1,408,54,73,417,0,101,1,25,5,3,6,18,1,0,0,8,2,1,7,2,0,1,1,3,0,172,31,2,151,0,56,0,19,9,1,1,109
"2009081353","DAL","OAK","54727",1,2009,"Preseason",31,0,10,0,0,1,1,3,1,1,5,0,0,0,0,1,2,299,38,23,299,0,176,2,26,5,3,6,45,0,0,0,4,1,1,2,0,3,1,1,1,1,162,26,2,162,0,127,0,29,5,0,3,151
"2009081450","STL","NYJ","54728",1,2009,"Preseason",20,0,23,0,1,0,0,3,6,4,5,3,2,2,0,2,1,260,25,6,260,0,102,1,28,4,2,5,104,3,2,0,2,1,2,3,1,0,0,0,4,1,145,23,7,145,0,193,1,29,6,2,6,96
"2009081451","MIN","IND","54729",1,2009,"Preseason",3,0,13,0,0,0,0,6,5,0,5,1,0,0,1,6,0,101,23,12,101,0,77,0,14,7,1,2,61,1,0,1,3,7,6,8,0,1,0,0,0,0,153,35,50,153,0,198,1,41,5,3,4,52
"2009081452","CIN","NO","54730",1,2009,"Preseason",17,0,7,0,1,1,2,5,4,1,7,3,0,2,0,0,2,230,25,35,230,0,86,0,30,4,1,4,24,3,2,0,3,1,0,5,1,1,1,2,1,1,292,33,11,292,0,90,0,27,6,2,2,75
"2009081453","DEN","SF","54731",1,2009,"Preseason",17,0,16,0,0,0,3,7,0,0,3,0,1,0,0,4,2,172,18,0,172,0,136,0,30,4,1,4,12,0,0,0,2,4,4,7,0,1,0,3,0,2,231,33,43,231,0,110,0,28,2,2,4,89
"2009081550","ATL","DET","54732",1,2009,"Preseason",27,0,26,0,0,0,0,4,2,0,4,0,0,0,1,1,2,269,33,19,269,0,191,1,35,6,4,5,108,0,0,1,4,4,1,4,0,0,0,0,0,0,115,27,53,115,0,113,2,28,6,1,6,76
"2009081551","CHI","BUF","54733",1,2009,"Preseason",27,0,20,0,1,1,5,8,4,3,2,1,1,2,1,2,1,265,34,1,265,0,119,2,41,4,2,5,123,1,2,1,3,5,2,6,1,0,1,4,3,2,161,27,25,161,0,37,0,12,3,1,5,115
"2009081552","CLE","GB","54734",1,2009,"Preseason",17,0,0,0,1,0,4,6,8,3,4,0,0,0,2,2,1,170,26,25,170,0,230,1,47,1,1,4,22,0,0,2,5,3,2,4,1,0,0,4,3,0,152,26,3,152,0,59,0,15,4,1,1,75
"2009081553","HOU","KC","54735",1,2009,"Preseason",10,0,16,0,2,0,0,4,4,2,2,1,3,2,1,1,1,200,37,8,200,0,115,0,29,6,1,2,80,1,2,1,5,2,1,6,2,2,0,0,2,0,191,28,28,191,0,107,1,30,7,2,5,70
"2009081554","TB","TEN","54736",1,2009,"Preseason",27,0,20,0,2,1,1,5,9,3,5,0,4,0,2,2,1,198,29,12,198,0,92,1,31,3,0,7,35,0,0,2,5,3,2,7,2,0,1,1,3,1,147,36,1,147,0,138,1,26,5,2,3,143
"2009081555","SEA","SD","54737",1,2009,"Preseason",14,0,20,0,0,0,1,7,0,0,5,1,0,1,2,4,1,341,49,30,341,0,55,1,21,7,3,3,120,1,1,2,7,6,4,4,0,0,0,1,0,2,158,35,14,158,0,92,0,33,8,2,5,42
"2009081750","CAR","NYG","54738",1,2009,"Preseason",24,0,17,0,6,4,1,6,8,4,2,0,1,0,1,5,1,171,26,40,171,0,139,1,32,7,5,5,48,0,0,1,6,6,5,10,6,0,4,1,4,1,174,30,3,174,0,124,1,23,7,1,3,82
"2009081751","JAC","MIA","54739",1,2009,"Preseason",12,0,9,0,0,0,2,7,5,1,1,0,1,0,2,1,1,146,25,1,146,0,118,0,37,4,1,4,127,0,0,2,5,2,1,5,0,1,0,2,1,0,220,37,7,220,0,66,0,21,4,1,4,100
"2009082050","PHI","IND","54740",2,2009,"Preseason",23,0,15,0,3,2,0,7,5,3,4,3,0,1,1,2,2,283,34,64,283,0,62,0,29,6,0,6,42,3,1,1,6,3,2,8,3,1,2,0,3,2,343,49,12,343,0,23,0,17,7,2,3,149
"2009082051","CIN","NE","54741",2,2009,"Preseason",6,0,7,0,1,1,0,3,6,4,8,1,1,1,0,4,0,253,42,15,253,0,108,0,24,7,3,3,37,1,1,0,3,12,4,6,1,1,1,0,4,1,186,20,1,186,0,173,0,35,6,2,2,49
"2009082150","TEN","DAL","54742",2,2009,"Preseason",30,0,10,0,0,0,1,5,1,0,1,0,2,0,0,0,2,355,42,12,355,0,111,2,35,6,3,5,82,0,0,0,2,2,0,4,0,1,0,1,0,1,140,30,49,140,0,51,0,16,6,4,4,92
"2009082151","ATL","STL","54743",2,2009,"Preseason",13,0,20,0,1,1,2,5,3,2,2,0,1,1,1,2,1,218,33,12,218,0,79,0,30,5,3,4,105,0,1,1,4,2,2,6,1,0,1,2,2,1,177,25,5,177,0,162,1,29,2,0,5,78
"2009082152","KC","MIN","54744",2,2009,"Preseason",17,0,13,0,2,2,0,2,2,3,3,0,0,0,0,0,2,267,27,5,267,0,93,0,27,4,1,4,70,0,0,0,0,0,0,4,2,2,2,0,3,1,208,37,10,208,0,106,0,33,4,2,4,63
"2009082250","CAR","MIA","54745",2,2009,"Preseason",27,0,17,0,2,1,0,4,5,1,9,1,3,1,0,1,2,184,30,36,184,0,141,1,28,5,3,6,52,1,1,0,0,1,1,4,2,2,1,0,1,0,149,29,72,149,0,98,2,26,6,2,4,103
"2009082251","DET","CLE","54746",2,2009,"Preseason",27,0,10,0,4,1,1,5,4,0,1,1,1,1,1,3,0,166,23,134,166,0,194,2,32,6,2,6,51,1,1,1,3,4,3,5,4,1,1,1,0,1,186,41,7,186,0,102,0,29,7,0,2,93
"2009082252","PIT","WAS","54747",2,2009,"Preseason",17,0,13,0,1,1,0,4,6,2,4,0,1,0,2,2,2,149,29,25,149,0,167,0,41,5,1,4,57,0,0,2,6,5,2,3,1,1,1,0,2,0,148,35,52,148,0,99,1,20,5,1,4,157
"2009082253","TB","JAC","54748",2,2009,"Preseason",23,0,24,0,0,0,0,3,5,1,8,1,0,0,0,5,2,336,41,52,336,0,61,1,17,7,3,5,83,1,0,0,8,6,5,7,0,1,0,0,1,2,182,30,15,182,0,159,1,38,7,1,5,111
"2009082254","BUF","GB","54749",2,2009,"Preseason",31,0,21,0,3,3,2,6,2,4,7,2,2,0,1,1,2,194,30,13,194,0,108,2,32,5,2,6,77,2,0,1,4,4,1,6,3,0,3,2,4,1,294,38,1,294,0,90,2,30,4,2,4,82
"2009082255","NO","HOU","54750",2,2009,"Preseason",14,0,38,0,0,0,0,2,7,2,2,2,1,1,2,1,2,271,41,0,271,0,70,0,25,5,1,3,124,2,1,2,8,3,1,1,0,0,0,0,2,1,252,35,80,252,0,173,3,27,3,0,7,75
"2009082256","NYG","CHI","54751",2,2009,"Preseason",17,0,3,0,1,0,0,4,7,5,6,2,0,2,0,2,1,241,31,39,241,0,150,1,34,5,3,4,55,2,1,0,2,3,2,8,1,1,0,0,5,0,165,32,5,165,0,119,0,22,8,3,2,78
